tag_name,tag_id,Frequency
fantasy-paranormal,626,626
fun,616,616
america,615,615
british-literature,607,607
reference,601,601
new-adult,597,597
5-star,595,595
books-to-buy,591,591
memoir-biography,590,590
epic,590,590
death,589,589
collection,587,587
alpha-male,586,586
classics-to-read,579,579
school-books,577,577
book-boyfriends,573,573
animals,571,571
self-help,570,570
book-club-reads,565,565
on-my-bookshelf,564,564
mythology,564,564
chicklit,563,563
in-my-library,562,562
uk,557,557
vampire,557,557
1,555,555
erotica,554,554
read-more-than-once,549,549
loved,548,548
american-lit,544,544
to-get,537,537
realistic,535,535
chic-lit,528,528
1001-books,528,528
bought,524,524
mystery-suspense-thriller,523,523
classroom-library,523,523
pnr,519,519
adult-romance,518,518
1001,516,516
made-me-cry,513,513
1001-books-to-read-before-you-die,512,512
modern,505,505
spirituality,496,496
mystery-thriller-suspense,493,493
purchased,490,490
gave-up,489,489
to-read-classics,486,486
19th-century,482,482
read-aloud,481,481
movies,481,481
graphic-novels,479,479
Young-Adult-Romance,477,477
bio,475,475
scanned,474,474
fantasy-fiction,474,474
graphic-novel,473,473
spiritual,472,472
netgalley,471,471
modern-classics,469,469
translated,466,466
survival,463,463
political,462,462
want-to-buy,459,459
biographical,459,459
comics,457,457
meh,457,457
travel,453,453
military,453,453
1001-books-you-must-read-before-you,447,447
biography-autobiography,445,445
standalone,440,440
movie,439,439
steamy,438,438
culture,436,436
magical-realism,434,434
cultural,431,431
art,430,430
signed,427,427
home,426,426
book-boyfriend,425,425
love-triangle,420,420
sf-f,419,419
witches,416,416
1001-books-to-read,415,415
bio-memoir,413,413
erotic,413,413
comic,413,413
classic-lit,411,411
essays,410,410
life,410,410
trilogy,410,410
self-improvement,409,409
to-reread,409,409
graphic,404,404
read-as-a-kid,404,404
finished-series,402,402
to-read-fantasy,402,402
chapter-books,402,402
biographies-memoirs,400,400
adult-non-fiction,400,400
stories,400,400
religious,398,398
crime-mystery-thriller,396,396
abuse,396,396
vamps,394,394
m-f,391,391
elementary,385,385
adult-nonfiction,384,384
post-apocalyptic,384,384
sociology,380,380
already-read,376,376
business,375,375
romantic,370,370
psychological,368,368
new-york,368,368
poetry,366,366
fantasy-series,363,363
completed-series,362,362
1001-import,362,362
mystery-series,360,360
demons,359,359
christian,357,357
personal-development,357,357
Young-Adult-Paranormal,356,356
mysteries-thrillers,356,356
mystery-detective,352,352
not-read,352,352
comics-graphic-novels,350,350
short-story,349,349
satire,349,349
read-alouds,348,348
espionage,346,346
family-relationships,345,345
romance-contemporary,344,344
graphic-novels-comics,344,344
summer-reading,342,342
translation,341,341
erotic-romance,335,335
brit-lit,335,335
horror-thriller,334,334
sub,333,333
stopped-reading,333,333
comics-and-graphic-novels,329,329
ghosts,329,329
fluff,328,328
english-literature,327,327
series-to-read,327,327
romantic-suspense,327,327
my-collection,327,327
loved-it,326,326
books-read-in-2016,326,326
could-not-finish,323,323
american-history,323,323
education,322,322
lgbt,321,321
comic-books,321,321
historical-romance,320,320
book,318,318
comics-manga,316,316
books-read-in-2015,315,315
roman,314,314
asia,313,313
not-interested,313,313
gothic,309,309
nonfic,309,309
graphic-novels-and-comics,308,308
autobiography-memoir,308,308
werewolves,306,306
award-winners,306,306
space,305,305
read-as-a-child,304,304
faith,303,303
partially-read,303,303
guilty-pleasure,303,303
1001-to-read,301,301
